path,rows,valid_scores,invalid_scores,stored_vote_differs_from_mean
data/experiments/unified_fullcase_latest/anthropic_claude-opus-4_6/baseline.jsonl,1000,1000,0,3
data/experiments/unified_fullcase_latest/anthropic_claude-opus-4_6/rq1.jsonl,1000,1000,0,9
data/experiments/paraphrase/anthropic_claude-opus-4.6/paraphrase_results.jsonl,4000,4000,0,0
data/experiments/stateswap_summary/anthropic_claude-opus-4.6/stateswap_summary_results.jsonl,4000,4000,0,0
data/experiments/unified_fullcase_latest/openai_gpt-5_6-sol/baseline.jsonl,1000,1000,0,13
data/experiments/unified_fullcase_latest/openai_gpt-5_6-sol/rq1.jsonl,1000,1000,0,31
data/experiments/paraphrase/openai_gpt-5.6-sol/paraphrase_results.jsonl,4000,4000,0,0
data/experiments/stateswap_summary/openai_gpt-5.6-sol/stateswap_summary_results.jsonl,4000,4000,0,0
data/experiments/unified_fullcase_latest/deepseek_deepseek-v4-pro/baseline.jsonl,1000,1000,0,57
data/experiments/unified_fullcase_latest/deepseek_deepseek-v4-pro/rq1.jsonl,1000,1000,0,72
data/experiments/paraphrase/deepseek_deepseek-v4-pro/paraphrase_results.jsonl,4000,3967,33,0
data/experiments/stateswap_summary/deepseek_deepseek-v4-pro/stateswap_summary_results.jsonl,4000,4000,0,0
data/experiments/unified_fullcase_latest/deepseek_deepseek-v4-flash/baseline.jsonl,1000,1000,0,51
data/experiments/unified_fullcase_latest/deepseek_deepseek-v4-flash/rq1.jsonl,1000,1000,0,44
data/experiments/paraphrase/deepseek_deepseek-v4-flash/paraphrase_results.jsonl,4000,3998,2,0
data/experiments/stateswap_summary/deepseek_deepseek-v4-flash/stateswap_summary_results.jsonl,4000,4000,0,0
data/experiments/unified_fullcase_latest/qwen_qwen3-235b-a22b/baseline.jsonl,1000,1000,0,74
data/experiments/unified_fullcase_latest/qwen_qwen3-235b-a22b/rq1.jsonl,1000,1000,0,61
data/experiments/paraphrase/qwen_qwen3-235b-a22b/paraphrase_results.jsonl,4000,4000,0,0
data/experiments/stateswap_summary/qwen_qwen3-235b-a22b/stateswap_summary_results.jsonl,4000,4000,0,0
data/experiments/unified_fullcase_latest/qwen_qwen3-32b/baseline.jsonl,1000,1000,0,70
data/experiments/unified_fullcase_latest/qwen_qwen3-32b/rq1.jsonl,1000,1000,0,66
data/experiments/paraphrase/qwen_qwen3-32b/paraphrase_results.jsonl,4000,4000,0,0
data/experiments/stateswap_summary/qwen_qwen3-32b/stateswap_summary_results.jsonl,4000,4000,0,0
