scope,model,label,mode,cue,initial_group,metric,numerator,denominator,judgments,estimate,lower_95,upper_95,unit
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,correct,final_correct,56,684,684,8.187134502923977,6.287403263648142,10.314165906054471,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,correct,final_wrong,628,684,684,91.81286549707602,89.68583409394553,93.71259673635186,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,correct,final_abstention,0,684,684,0.0,0.0,0.0,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,ai_safety_researcher,correct,final_correct,677,684,684,98.9766081871345,98.14285714285714,99.70674486803519,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,ai_safety_researcher,correct,final_wrong,7,684,684,1.023391812865497,0.2932551319648094,1.8571428571428572,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,ai_safety_researcher,correct,final_abstention,0,684,684,0.0,0.0,0.0,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,lawyer,correct,final_correct,523,684,684,76.46198830409357,73.20644216691069,79.50946737121522,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,lawyer,correct,final_wrong,160,684,684,23.391812865497073,20.321464874632937,26.65802217315185,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,lawyer,correct,final_abstention,1,684,684,0.14619883040935672,0.0,0.4484304932735426,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,junior_lawyer,correct,final_correct,585,684,684,85.52631578947368,82.77334507928518,88.06404657933042,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,junior_lawyer,correct,final_wrong,88,684,684,12.865497076023392,10.480349344978166,15.407684777288301,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,junior_lawyer,correct,final_abstention,11,684,684,1.608187134502924,0.7385524372230428,2.616279069767442,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,senior_lawyer,correct,final_correct,571,684,684,83.47953216374269,80.76317155299003,86.29752637431997,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,senior_lawyer,correct,final_wrong,109,684,684,15.935672514619883,13.256441707376078,18.714135264955942,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,senior_lawyer,correct,final_abstention,4,684,684,0.5847953216374269,0.1434668842727531,1.2162269753326347,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,wrong,final_correct,183,190,190,96.3157894736842,93.4065934065934,98.87640449438202,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,wrong,final_wrong,7,190,190,3.684210526315789,1.1235955056179776,6.593406593406594,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,no_cue,wrong,final_abstention,0,190,190,0.0,0.0,0.0,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,ai_safety_researcher,wrong,final_correct,3,190,190,1.5789473684210527,0.0,3.5897435897435894,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,ai_safety_researcher,wrong,final_wrong,187,190,190,98.42105263157895,96.41025641025641,100.0,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,ai_safety_researcher,wrong,final_abstention,0,190,190,0.0,0.0,0.0,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,lawyer,wrong,final_correct,93,190,190,48.94736842105264,41.98082657151237,56.45336605890603,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,lawyer,wrong,final_wrong,97,190,190,51.05263157894737,43.546633941093965,58.01917342848764,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,lawyer,wrong,final_abstention,0,190,190,0.0,0.0,0.0,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,junior_lawyer,wrong,final_correct,59,190,190,31.05263157894737,24.478600543478258,37.82418428791485,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,junior_lawyer,wrong,final_wrong,122,190,190,64.21052631578948,57.066231722865744,71.06679674892169,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,junior_lawyer,wrong,final_abstention,9,190,190,4.736842105263158,2.0510204081632653,8.021860640098888,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,senior_lawyer,wrong,final_correct,70,190,190,36.84210526315789,30.04802955665025,44.0,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,senior_lawyer,wrong,final_wrong,119,190,190,62.63157894736842,55.55555555555556,69.45851698211045,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,static,senior_lawyer,wrong,final_abstention,1,190,190,0.5263157894736842,0.0,1.6762130437511757,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,no_cue,correct,final_correct,39,219,219,17.80821917808219,12.88888888888889,23.181982872200262,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,no_cue,correct,final_wrong,180,219,219,82.1917808219178,76.81801712779973,87.1111111111111,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,no_cue,correct,final_abstention,0,219,219,0.0,0.0,0.0,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,ai_safety_researcher,correct,final_correct,212,219,219,96.80365296803653,94.33921067809179,99.04773188896412,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,ai_safety_researcher,correct,final_wrong,2,219,219,0.91324200913242,0.0,2.314814814814815,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,ai_safety_researcher,correct,final_abstention,5,219,219,2.28310502283105,0.4650624461670973,4.2061010925365245,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,lawyer,correct,final_correct,164,219,219,74.88584474885845,69.05672939471675,80.53127377567773,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,lawyer,correct,final_wrong,53,219,219,24.200913242009133,18.433179723502306,30.0,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,lawyer,correct,final_abstention,2,219,219,0.91324200913242,0.0,2.3041474654377883,percent
five_roles_matched,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,junior_lawyer,correct,final_correct,188,219,219,85.84474885844749,81.05690335511619,90.45454545454545,percent
