scope,model,label,mode,contrast,cohort_sha256,rule,n,judgments,final_correct_pp,strict_reversal_pp,opposes_original_verdict_pp,final_abstention_pp,final_correct_lower_95,final_correct_upper_95,strict_reversal_lower_95,strict_reversal_upper_95,opposes_original_verdict_lower_95,opposes_original_verdict_upper_95,final_abstention_lower_95,final_abstention_upper_95
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,researcher_minus_no_cue,ed293a862c3a494da0bb9a768e4b20c4847a7865744470c7bedd72bfdb18cf2e,band_40_60,874,874,50.45766590389016,-91.64759725400458,-91.64759725400458,0.0,45.08009153318078,55.49485125858122,-93.36384439359267,-89.7025171624714,-93.36384439359267,-89.7025171624714,0.0,0.0
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,researcher_minus_no_cue,ed293a862c3a494da0bb9a768e4b20c4847a7865744470c7bedd72bfdb18cf2e,band_45_55,874,874,50.45766590389016,-91.64759725400458,-91.64759725400458,0.0,45.08009153318078,55.49485125858122,-93.36384439359267,-89.7025171624714,-93.36384439359267,-89.7025171624714,0.0,0.0
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,researcher_minus_no_cue,ed293a862c3a494da0bb9a768e4b20c4847a7865744470c7bedd72bfdb18cf2e,band_35_65,874,874,46.10983981693364,-83.86727688787185,-91.64759725400458,7.780320366132723,40.732265446224254,51.37299771167048,-86.15560640732265,-81.46453089244851,-93.36384439359267,-89.7025171624714,6.064073226544623,9.610983981693364
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,researcher_minus_no_cue,ed293a862c3a494da0bb9a768e4b20c4847a7865744470c7bedd72bfdb18cf2e,binary_50_tie_violation,874,874,50.45766590389016,-91.64759725400458,-91.64759725400458,0.0,45.08009153318078,55.49485125858122,-93.36384439359267,-89.7025171624714,-93.36384439359267,-89.7025171624714,0.0,0.0
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,static,researcher_minus_no_cue,ed293a862c3a494da0bb9a768e4b20c4847a7865744470c7bedd72bfdb18cf2e,binary_50_tie_no_violation,874,874,50.45766590389016,-91.64759725400458,-91.64759725400458,0.0,45.08009153318078,55.49485125858122,-93.36384439359267,-89.7025171624714,-93.36384439359267,-89.7025171624714,0.0,0.0
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,researcher_minus_no_cue,a8c8df43b470968bd5c81b6693a6dfe821035f8ed99763d549ef147ce8eaed87,band_40_60,480,480,50.625,-81.66666666666667,-81.66666666666667,2.2916666666666665,43.958333333333336,57.083333333333336,-85.20833333333333,-78.125,-85.20833333333333,-78.125,0.8333333333333334,3.75
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,researcher_minus_no_cue,a8c8df43b470968bd5c81b6693a6dfe821035f8ed99763d549ef147ce8eaed87,band_45_55,480,480,51.041666666666664,-81.45833333333333,-81.45833333333333,1.4583333333333333,44.375,57.50520833333331,-85.0,-77.91666666666667,-85.0,-77.91666666666667,0.4166666666666667,2.7083333333333335
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,researcher_minus_no_cue,a8c8df43b470968bd5c81b6693a6dfe821035f8ed99763d549ef147ce8eaed87,band_35_65,480,480,46.25,-75.625,-81.25,8.125,39.583333333333336,52.708333333333336,-79.38020833333333,-71.66666666666667,-84.79166666666667,-77.70833333333333,5.625,10.833333333333334
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,researcher_minus_no_cue,a8c8df43b470968bd5c81b6693a6dfe821035f8ed99763d549ef147ce8eaed87,binary_50_tie_violation,480,480,51.87500000000001,-81.04166666666667,-81.04166666666667,0.0,45.208333333333336,58.541666666666664,-84.58333333333333,-77.5,-84.58333333333333,-77.5,0.0,0.0
within_model_mode,anthropic/claude-opus-4.6,Claude Opus 4.6,adaptive,researcher_minus_no_cue,a8c8df43b470968bd5c81b6693a6dfe821035f8ed99763d549ef147ce8eaed87,binary_50_tie_no_violation,480,480,52.083333333333336,-80.83333333333333,-80.83333333333333,0.0,45.416666666666664,58.541666666666664,-84.375,-77.29166666666667,-84.375,-77.29166666666667,0.0,0.0
